"","year","CAI","LAI","Density","DBH","Density12","DBH12","QMD","NPP","GPP","Rauto","Rh","rain","SoilWater","Transp","Evap","Runoff","plantC","soilC","plantN","soilN","totN","NSC","SeedC","leafC","rootC","SapwoodC","WoodC","NSN","SeedN","leafN","rootN","SapwoodN","WoodN","McrbC","fastSOM","SlowSOM","McrbN","fastSoilN","slowSoilN","mineralN","N_fxed","N_uptk","N_yrMin","N_P2S","N_loss","totseedC","totseedN","Seedling_C","Seedling_N","MaxAge","MaxVolume","MaxDBH","NPPL","NPPW","n_deadtrees","c_deadtrees","m_turnover","c_turnover_time"
"11",11,0.0258055925369263,0.109270691871643,1058.71557617188,1.21428418159485,0,0,0,0.0344069227576256,0.0460364818572998,0.0116295432671905,0.00739130098372698,587.529663085938,799.997619628906,12.6721715927124,165.344573974609,409.533294677734,0.113446712493896,0.0407886058092117,2.29056262969971,NA,NA,0.0362564139068127,0.00107673462480307,0.018576018512249,0.00918709486722946,0.0393959879875183,0.00895446352660656,1.54928624629974,0.0538367442786694,0.319618582725525,0.22967703640461,0.112559974193573,0.0255841799080372,0.00115187303163111,0.0221964474767447,0.0174402855336666,0.115187302231789,NA,NA,200,0,0.651641070842743,-9179.79296875,0.313717156648636,NA,3.032639503479,0.151632040739059,3.032639503479,0.151632040739059,11.0019474029541,0.00281943334266543,0.0227793287485838,0.0494655594229698,0.0333119034767151,0.000456842302810401,0.000936355208978057,0.0136417262256145,3.29720592498779
"12",12,0.0296218618750572,0.12688259780407,1048.12731933594,1.34863364696503,0,0,0,0.0403359085321426,0.0537668354809284,0.0134309250861406,0.00875505805015564,587.529663085938,799.99755859375,14.7977085113525,163.608093261719,409.142211914062,0.13677841424942,0.0490382425487041,2.67128849029541,NA,NA,0.0424355268478394,0.00233224779367447,0.0215700436383486,0.0106678428128362,0.0488127842545509,0.0109599633142352,1.74606704711914,0.116612486541271,0.371133655309677,0.266696006059647,0.139465093612671,0.0313141830265522,0.0013723672600463,0.0261484384536743,0.0215174369513988,0.137236729264259,NA,NA,200,0,0.768511354923248,-9179.79296875,0.364875316619873,NA,0,0,0,0,12.0044498443604,0.00350748235359788,0.0249875355511904,0.0372545085847378,0.0251380242407322,0.00105882657226175,0.00113473157398403,0.0158692598342896,3.39098381996155
"13",13,0.0356568582355976,0.150005042552948,1499.42810058594,1.16085350513458,0,0,0,0.0476090796291828,0.0636114478111267,0.0160023272037506,0.0103334272280335,587.529663085938,799.99755859375,17.4937191009521,161.491577148438,408.556762695312,0.164305791258812,0.0587863698601723,3.11664366722107,NA,NA,0.050708431750536,0.0014747193781659,0.0255008563399315,0.0126118948683143,0.0602082945406437,0.013801584020257,2.07738637924194,0.0737359821796417,0.438767582178116,0.315296858549118,0.172023683786392,0.0394331105053425,0.00162585778161883,0.0308249481022358,0.0263355616480112,0.162585780024529,NA,NA,200,0,0.902396023273468,-9179.791015625,0.430317848920822,NA,2.30891823768616,0.115446001291275,2.30891823768616,0.115446008741856,13.0069522857666,0.00431688548997045,0.0272855013608932,0.0700566470623016,0.0471786856651306,0.00104826630558819,0.00136818364262581,0.0187135804444551,3.45114398002625
"14",14,0.0406840220093727,0.17494823038578,1484.43225097656,1.28834557533264,0,0,0,0.055678952485323,0.0742577016353607,0.0185787472873926,0.0121624395251274,587.529663085938,799.99755859375,20.4283275604248,159.221115112305,407.887298583984,0.196517318487167,0.070089764893055,3.67611503601074,NA,NA,0.0589735805988312,0.00316238077357411,0.0297411978244781,0.0147090302780271,0.0735174641013145,0.016413651406765,2.38159847259521,0.158119171857834,0.511726438999176,0.367725133895874,0.210049882531166,0.046896155923605,0.00191845581866801,0.0361774936318398,0.0319938138127327,0.191845580935478,NA,NA,200,0,1.09242808818817,-9179.791015625,0.501780033111572,NA,0,0,0,0,14.0094547271729,0.00526069710031152,0.0296700187027454,0.0527624785900116,0.0356022529304028,0.00149960198905319,0.00164364045485854,0.0218235794454813,3.52947235107422
"15",15,0.0487865135073662,0.208454459905624,2095.73413085938,1.1255578994751,0,0,0,0.0657118782401085,0.0879496783018112,0.0222378131002188,0.0143204228952527,587.529663085938,799.997497558594,24.1951580047607,156.402008056641,406.937438964844,0.234372839331627,0.0836272090673447,4.39682006835938,NA,NA,0.0698261857032776,0.00194958492647856,0.0354372635483742,0.0175261180847883,0.0894981548190117,0.0201355405151844,2.93821692466736,0.0974792167544365,0.609732091426849,0.438152402639389,0.255708992481232,0.0575301572680473,0.00226099882274866,0.0426531508564949,0.0387130565941334,0.226099893450737,NA,NA,200,0,1.35282516479492,-9179.7890625,0.595343172550201,NA,3.13074207305908,0.156537234783173,3.13074207305908,0.156537249684334,15.0119571685791,0.00635246187448502,0.0321380496025085,0.0979173928499222,0.0659411177039146,0.00148464553058147,0.00196602079086006,0.025890227407217,3.56667375564575
"16",16,0.0554983243346214,0.240631192922592,2074.77416992188,1.25011396408081,0,0,0,0.0766694620251656,0.102189101278782,0.0255197510123253,0.0168545749038458,587.529663085938,799.997436523438,28.1288776397705,153.535797119141,405.865753173828,0.278542667627335,0.099272146821022,5.06588983535767,NA,NA,0.0815769135951996,0.00434102909639478,0.0409073084592819,0.0202314257621765,0.107791543006897,0.0236944612115622,3.2635293006897,0.217051386833191,0.703850150108337,0.505785226821899,0.307975828647614,0.0676985010504723,0.00266226823441684,0.0500222481787205,0.0465876311063766,0.266226828098297,NA,NA,200,0,1.4063915014267,-9179.7880859375,0.693333625793457,NA,0,0,0,0,16.0144596099854,0.00760614173486829,0.0346867181360722,0.0737455189228058,0.0497608669102192,0.00209599593654275,0.0023449226282537,0.0301546696573496,3.63303279876709
"17",17,0.0663879290223122,0.284035980701447,2875.00439453125,1.11116683483124,0,0,0,0.0897673368453979,0.120112784206867,0.030345544219017,0.0197885893285275,587.529663085938,799.997436523438,33.0512237548828,150.213012695312,404.264587402344,0.330096334218979,0.117696285247803,6.01278877258301,NA,NA,0.0964703112840652,0.00297262682579458,0.0482861176133156,0.0238807424902916,0.129582494497299,0.0289040543138981,3.98351073265076,0.148631408810616,0.830809950828552,0.597018003463745,0.370235681533813,0.082583099603653,0.00312938168644905,0.0587269552052021,0.0558399520814419,0.312938183546066,NA,NA,200,0,1.81220364570618,-9179.78515625,0.81462025642395,NA,4.10490608215332,0.205245226621628,4.10490608215332,0.205245226621628,17.0169620513916,0.00903606694191694,0.037313312292099,0.134326636791229,0.0904604345560074,0.00207509100437164,0.00278710969723761,0.035426240414381,3.67724323272705
"18",18,0.0775914192199707,0.331534057855606,3341.76245117188,1.11626875400543,0,0,0,0.105270393192768,0.140619650483131,0.0353492833673954,0.0232267174869776,587.529663085938,799.997436523438,38.6920204162598,146.607040405273,402.228515625,0.390611231327057,0.139231875538826,7.00351619720459,NA,NA,0.113140657544136,0.00378877064213157,0.0563607886433601,0.0278742182999849,0.154948949813843,0.0344978533685207,4.60620403289795,0.189438566565514,0.969742119312286,0.696855008602142,0.442711293697357,0.0985653847455978,0.00367512460798025,0.0688396319746971,0.066717118024826,0.367512464523315,NA,NA,200,0,2.00403261184692,-9179.7822265625,0.953138589859009,NA,2.47756004333496,0.123878069221973,2.47756004333496,0.123878084123135,18.0194644927979,0.0106569277122617,0.0400151014328003,0.156134635210037,0.10514672100544,0.00287538906559348,0.00330326473340392,0.0414521098136902,3.71055173873901
"19",19,0.0906506925821304,0.388957113027573,3864.39331054688,1.12612354755402,0,0,0,0.123102411627769,0.164579331874847,0.0414768978953362,0.0272235386073589,587.529663085938,799.997436523438,45.2831153869629,142.692810058594,399.553436279297,0.461310029029846,0.164412900805473,8.17500019073486,NA,NA,0.13202790915966,0.00478539196774364,0.0661227181553841,0.0327021516859531,0.184630259871483,0.0410416014492512,5.33569526672363,0.23926967382431,1.13770544528961,0.817552983760834,0.52751499414444,0.117261745035648,0.00431088590994477,0.0806399881839752,0.0794620290398598,0.431088596582413,NA,NA,200,0,2.3566358089447,-9179.783203125,1.11506080627441,NA,2.78026366233826,0.139013230800629,2.78026366233826,0.139013230800629,19.0219669342041,0.0124837085604668,0.0427895858883858,0.180553108453751,0.121591009199619,0.00284671131521463,0.00387902720831335,0.0484943017363548,3.74736785888672
"20",20,0.105697862803936,0.453684478998184,4446.1630859375,1.13823521137238,0,0,0,0.144109770655632,0.192463919520378,0.0483541786670685,0.0319009609520435,587.529663085938,799.997375488281,52.9569892883301,138.48371887207,396.089263916016,0.544080257415771,0.19384928047657,9.65448570251465,NA,NA,0.154767364263535,0.0061835553497076,0.0771263539791107,0.0381441935896873,0.219296678900719,0.048562079668045,6.29936027526855,0.309177815914154,1.32703495025635,0.95360267162323,0.626561939716339,0.13874876499176,0.00505347084254026,0.094400018453598,0.0943957939743996,0.505347073078156,NA,NA,200,0,2.86554312705994,-9179.77734375,1.30423891544342,NA,3.10209727287292,0.15510493516922,3.10209727287292,0.155104920268059,20.0244693756104,0.0145316366106272,0.0456342436373234,0.207734704017639,0.139896064996719,0.00386494724079967,0.00461731152608991,0.0567217841744423,3.77545714378357
